CustomerID,Age,Gender,AnnualIncome,SpendingScore,Region,PreferredChannel,TenureYears,WebsiteVisits,PurchasesLastYear
CUST00119,42,Male,35840,47,North,SMS,10,8,7
CUST00120,42,Female,35155,15,South,Social Media,6,6,5
CUST00121,25,Female,36250,51,South,Social Media,8,11,2
CUST00122,49,Female,48329,82,North,Social Media,0,10,2
CUST00123,20,Female,46847,85,North,SMS,7,8,3
CUST00124,40,Male,35747,74,West,SMS,3,7,2
CUST00125,56,Female,54044,21,South,Social Media,6,11,2
CUST00126,25,Male,83938,90,West,SMS,6,7,6
CUST00127,29,Male,42429,41,West,Email,3,10,4
CUST00128,35,Female,43497,3,North,Phone Call,7,10,6
CUST00129,29,Male,58394,1,West,Phone Call,12,13,5
CUST00130,19,Female,41617,21,North,Phone Call,11,6,6
CUST00131,35,Male,60034,75,East,Email,0,9,4
CUST00132,24,Male,39221,80,West,Social Media,4,13,6
CUST00133,39,Female,77481,99,South,Phone Call,3,11,8
CUST00134,25,Female,55171,21,South,SMS,3,14,10
CUST00135,50,Male,40699,75,East,Email,14,6,1
CUST00136,27,Female,41169,95,East,Social Media,2,9,4
CUST00137,31,Male,42293,49,West,Email,0,5,7
CUST00138,43,Female,70591,65,South,Phone Call,4,11,8
CUST00139,22,Male,30968,41,South,Social Media,7,13,2
CUST00140,37,Male,39980,96,North,Phone Call,9,8,8
CUST00141,48,Male,41575,67,North,Social Media,5,20,5
CUST00142,18,Male,49764,96,South,Phone Call,11,10,5
CUST00143,36,Male,45933,42,North,Social Media,0,5,7
CUST00144,37,Female,27631,69,North,Email,4,11,5
CUST00145,42,Male,44002,57,North,Social Media,5,7,3
CUST00146,22,Female,48506,43,East,Social Media,14,8,6
CUST00147,21,Female,40578,12,South,Email,8,3,4
CUST00148,40,Male,60301,78,South,Social Media,8,9,2
CUST00149,37,Male,63791,64,South,Email,4,13,2
CUST00150,37,Female,48824,51,North,Phone Call,2,15,4
CUST00151,38,Male,53458,73,West,Phone Call,5,11,9
CUST00152,28,Male,17584,60,West,Phone Call,10,18,6
CUST00153,37,Female,43683,71,North,Social Media,7,10,3
CUST00154,37,Female,65072,80,East,SMS,11,12,7
CUST00155,27,Female,43648,28,East,SMS,10,11,5
CUST00156,53,Female,38941,71,South,Phone Call,11,11,1
CUST00157,39,Female,84165,14,West,Email,11,12,5
CUST00158,23,Female,77286,32,East,Social Media,4,8,3
CUST00159,41,Male,57013,8,West,Email,7,10,3
CUST00160,25,Female,67083,27,West,Social Media,0,6,6
CUST00161,42,Female,16610,50,East,Email,7,13,4
CUST00162,46,Male,38186,59,North,Phone Call,1,12,5
CUST00163,26,Male,42950,57,South,SMS,6,13,8
CUST00164,44,Male,46460,3,South,Email,1,7,5
CUST00165,39,Male,42650,27,East,Phone Call,2,8,7
CUST00166,43,Male,11749,94,North,SMS,4,8,4
CUST00167,53,Male,55790,34,East,SMS,9,10,7
CUST00168,32,Female,58154,26,East,SMS,6,17,7
CUST00169,27,Male,74028,40,West,Email,8,5,6
CUST00170,26,Male,38175,86,West,Email,11,7,7
CUST00171,26,Male,36947,32,South,SMS,11,7,6
CUST00172,34,Male,9800,41,West,Email,4,8,5
CUST00173,38,Female,45596,2,West,Phone Call,10,11,6
CUST00174,37,Male,63516,72,North,Social Media,0,15,7
CUST00175,43,Male,40823,7,East,SMS,14,13,3
CUST00176,35,Female,82151,19,East,Social Media,10,7,4
CUST00177,49,Female,46151,33,North,SMS,14,11,6
CUST00178,32,Female,52204,2,West,Social Media,2,7,3
CUST00179,62,Male,29553,67,West,SMS,4,11,6
CUST00180,41,Female,54308,92,East,Phone Call,11,7,6
CUST00181,26,Female,20310,78,South,SMS,2,6,7
CUST00182,24,Female,60405,15,East,Phone Call,7,15,3
CUST00183,39,Male,60866,21,South,SMS,7,8,3
CUST00184,32,Male,70389,78,West,Email,14,7,4
CUST00185,42,Female,34700,59,South,Social Media,10,9,7
CUST00186,39,Male,52408,82,South,Phone Call,0,9,5
CUST00187,34,Male,58457,39,South,SMS,7,11,8
CUST00188,26,Male,56634,20,South,Email,13,10,4
CUST00189,19,Male,37020,1,South,SMS,3,9,5
CUST00190,30,Male,14120,73,East,Social Media,10,11,4
CUST00191,43,Female,55204,9,North,SMS,5,18,8
CUST00192,37,Female,47712,51,West,Email,9,8,2
CUST00193,22,Female,41499,38,East,SMS,14,7,8
CUST00194,36,Female,61459,93,North,SMS,7,3,1
CUST00195,38,Male,49326,15,East,Phone Call,13,11,5
CUST00196,26,Female,30212,84,North,Phone Call,1,14,5
CUST00197,36,Female,21028,41,East,SMS,7,8,2
CUST00198,35,Male,33065,94,West,SMS,6,10,6
CUST00199,23,Male,85895,47,West,Email,3,8,9
CUST00200,38,Male,60841,26,South,SMS,11,14,3
CUST00201,40,Male,52829,54,North,Social Media,4,10,6
CUST00202,45,Female,47275,70,East,Phone Call,5,7,3
CUST00203,45,Male,46289,39,South,Social Media,14,10,4
CUST00204,21,Male,67507,17,East,SMS,2,11,5
CUST00205,25,Male,42641,70,West,Email,1,13,1
CUST00206,40,Male,58653,92,West,Social Media,13,11,5
CUST00207,40,Male,44773,9,North,SMS,1,13,6
CUST00208,40,Male,79102,91,East,Phone Call,14,10,1
CUST00209,73,Female,61134,99,East,SMS,3,8,1
CUST00210,40,Female,68683,46,South,Phone Call,6,10,2
CUST00211,46,Female,41233,6,West,Email,11,11,10
CUST00212,44,Male,65872,68,South,Phone Call,0,7,4
CUST00213,41,Male,45311,16,South,SMS,0,12,6
CUST00214,31,Female,51650,87,North,Email,14,8,7
CUST00215,42,Female,74525,87,South,Phone Call,3,9,3
CUST00216,27,Female,34358,29,North,Phone Call,8,10,6
CUST00217,32,Female,53048,41,West,Social Media,11,10,3
CUST00218,30,Male,56570,68,South,Phone Call,13,6,8
CUST00219,35,Female,57800,62,South,SMS,11,6,11
CUST00220,58,Male,43238,40,South,Email,4,9,4
CUST00221,16,Male,81293,62,South,SMS,0,11,2
CUST00222,41,Male,30576,24,West,Phone Call,2,8,7
CUST00223,18,Female,71883,6,North,SMS,10,11,4
CUST00224,30,Female,68225,40,West,Social Media,5,13,2
CUST00225,45,Female,78513,70,North,SMS,12,13,5
CUST00226,35,Male,26176,58,North,Email,14,7,5
CUST00227,24,Male,36967,14,South,Email,2,9,5
CUST00228,27,Female,72379,78,South,Phone Call,10,12,2
CUST00229,41,Male,21844,45,South,Email,5,8,7
CUST00230,27,Female,25903,99,North,SMS,5,11,5
CUST00231,37,Male,42675,6,East,Phone Call,4,12,8
CUST00232,35,Male,52879,23,East,SMS,9,11,5
CUST00233,28,Male,73883,62,East,Social Media,12,12,7
CUST00234,56,Male,47221,84,West,SMS,4,13,3
CUST00235,41,Male,40876,17,North,Email,8,12,4
CUST00236,14,Male,54670,84,East,Email,2,7,6
CUST00237,36,Male,57043,70,North,Social Media,14,9,5
CUST00238,28,Female,56618,28,North,Phone Call,10,10,4
CUST00239,43,Male,47330,13,West,Email,9,4,3
CUST00240,27,Male,20673,29,South,Email,6,4,5
CUST00241,33,Female,36235,45,South,Email,12,15,6
CUST00242,40,Female,71304,20,West,Social Media,3,13,3
CUST00243,43,Female,52806,58,West,Social Media,1,14,6
CUST00244,22,Female,45162,81,North,Email,9,9,6
CUST00245,31,Male,66772,54,East,Phone Call,2,10,5
CUST00246,30,Male,33048,99,North,Email,2,4,4
CUST00247,28,Female,46619,64,North,SMS,2,6,3
CUST00248,52,Male,52066,52,East,SMS,2,9,3
CUST00249,39,Female,43379,43,South,Phone Call,9,7,4
CUST00250,22,Male,51511,87,North,Email,5,11,7
CUST00251,44,Male,47184,18,South,Phone Call,12,12,6
CUST00252,56,Male,29009,100,South,SMS,13,7,3
CUST00253,45,Male,52722,84,South,Email,5,9,7
CUST00254,19,Male,30074,54,North,Email,10,9,6
CUST00255,30,Female,52484,60,East,SMS,8,13,5
CUST00256,47,Male,70612,71,East,Phone Call,7,12,3
CUST00257,27,Male,45784,100,South,Phone Call,9,6,6
CUST00258,39,Male,32427,1,South,Social Media,6,15,2
CUST00259,42,Male,48095,37,East,Social Media,14,13,6
CUST00260,25,Male,37520,49,West,Social Media,11,12,6
CUST00261,34,Female,58917,35,West,Phone Call,11,12,4
CUST00262,2,Male,47780,67,South,Email,12,11,7
CUST00263,24,Female,75646,35,East,Email,1,9,6
CUST00264,32,Male,67444,93,West,Social Media,9,17,4
CUST00265,22,Male,47703,9,East,Phone Call,1,6,4
CUST00266,51,Female,60734,37,North,Social Media,13,7,5
CUST00267,20,Male,44101,60,South,Phone Call,0,14,4
CUST00268,30,Male,50509,56,West,Phone Call,6,6,7
CUST00269,36,Female,44578,89,South,Social Media,6,14,6
CUST00270,49,Male,61496,12,North,Email,0,9,3
CUST00271,20,Female,71494,71,East,Email,5,11,4
CUST00272,46,Female,61979,71,South,Phone Call,10,9,5
CUST00273,35,Female,63829,4,West,SMS,13,8,7
CUST00274,25,Male,63845,61,North,SMS,11,10,4
CUST00275,39,Male,58268,45,West,SMS,6,7,5
CUST00276,36,Female,32910,95,East,Social Media,13,5,7
CUST00277,28,Male,75514,50,West,Email,0,7,8
CUST00278,35,Female,77066,50,West,SMS,11,7,10
CUST00279,31,Male,46491,74,West,SMS,5,6,4
CUST00280,36,Female,44439,48,North,SMS,9,11,5
CUST00281,41,Male,59186,23,West,SMS,8,11,2
CUST00282,50,Female,58262,90,West,Social Media,11,10,3
CUST00283,22,Male,46970,87,North,Email,0,12,6
CUST00284,56,Female,31249,93,North,Email,1,8,2
CUST00285,15,Male,54585,8,North,Email,1,11,6
CUST00286,33,Female,58271,83,East,SMS,9,7,4
CUST00287,40,Male,60887,29,North,Phone Call,2,9,3
CUST00288,37,Male,55239,43,East,Social Media,13,7,6
CUST00289,28,Female,45933,53,North,Social Media,3,9,5
CUST00290,32,Male,64910,6,North,Social Media,6,10,8
CUST00291,30,Male,50987,93,South,Email,2,11,3
CUST00292,29,Male,43026,24,South,Email,6,7,5
CUST00293,43,Male,47290,74,South,Social Media,4,8,8
CUST00294,38,Female,23810,14,South,SMS,4,8,6
CUST00295,28,Male,47266,52,North,Phone Call,6,11,7
CUST00296,43,Male,60326,70,North,Email,6,6,6
CUST00297,38,Female,55096,4,East,Email,6,12,4
CUST00298,43,Male,72809,58,North,SMS,8,12,9
CUST00299,41,Female,46055,79,East,SMS,0,10,5
CUST00300,26,Male,57309,37,West,Email,0,3,2
CUST00301,29,Female,61891,48,West,SMS,14,12,3
CUST00302,42,Male,85142,39,North,SMS,2,14,3
CUST00303,41,Female,52171,92,West,SMS,5,7,9
CUST00304,34,Female,34337,66,North,Phone Call,1,9,6
CUST00305,36,Female,62718,13,East,Phone Call,8,13,3
CUST00306,47,Male,77985,66,South,Phone Call,0,11,5
CUST00307,29,Female,45161,60,West,SMS,13,7,6
CUST00308,40,Male,62616,41,North,SMS,4,5,7
CUST00309,32,Female,68430,32,South,Phone Call,6,11,8
CUST00310,32,Female,65255,52,East,Phone Call,9,5,3
CUST00311,45,Female,51883,5,North,Social Media,2,9,6
CUST00312,43,Male,39522,67,West,Email,13,6,2
CUST00313,43,Male,48780,66,East,Phone Call,1,6,5
CUST00314,48,Female,56879,78,North,Social Media,12,14,8
CUST00315,35,Female,63623,52,West,Social Media,2,6,5
CUST00316,41,Female,55009,49,East,Phone Call,14,9,2
CUST00317,31,Female,44301,29,East,Social Media,11,10,3
CUST00318,38,Female,58330,38,South,Phone Call,6,8,6
CUST00319,33,Female,62901,70,South,Email,14,10,5
CUST00320,35,Female,55694,98,South,Email,0,9,9
CUST00321,40,Female,37457,8,North,Email,7,13,5
CUST00322,26,Male,47278,59,East,Phone Call,2,7,5
CUST00323,55,Female,64217,55,South,Social Media,4,11,5
CUST00324,24,Male,29254,2,West,Phone Call,9,12,9
CUST00325,22,Female,18602,26,North,Email,10,10,5
CUST00326,46,Male,72621,63,South,Social Media,4,10,5
CUST00327,42,Male,57671,17,North,SMS,5,13,8
CUST00328,41,Female,59100,59,East,Email,6,10,4
CUST00329,41,Male,33847,88,West,Phone Call,10,9,3
CUST00330,34,Male,61062,95,East,Phone Call,0,11,8
CUST00331,26,Female,54128,16,West,Phone Call,5,6,5
CUST00332,35,Female,26235,58,East,SMS,1,11,8
CUST00333,28,Female,71364,64,North,Social Media,13,4,6
CUST00334,44,Male,52380,50,East,Phone Call,9,13,3
CUST00335,33,Female,44058,85,West,Phone Call,2,15,3
CUST00336,26,Male,44330,26,North,Phone Call,13,11,6
CUST00337,31,Female,19771,17,North,Email,4,9,5
CUST00338,39,Female,58900,46,West,Email,0,11,5
CUST00339,29,Male,53927,68,West,SMS,6,11,4
CUST00340,26,Male,47088,50,North,Social Media,0,9,4
CUST00341,37,Male,69177,43,West,Social Media,7,9,6
CUST00342,37,Female,29242,48,East,Phone Call,10,7,5
CUST00343,29,Female,41048,68,East,Phone Call,11,5,2
CUST00344,30,Female,37249,19,East,Email,5,9,6
CUST00345,37,Male,45818,25,North,Email,10,10,7
CUST00346,20,Male,51012,72,East,Email,13,16,6
CUST00347,20,Male,56450,18,North,Email,0,10,5
CUST00348,27,Male,44795,51,West,Phone Call,14,12,10
CUST00349,32,Female,36839,18,East,Email,13,11,5
CUST00350,38,Male,75290,58,North,Social Media,6,10,5
CUST00351,49,Male,86174,64,South,Email,9,9,2
CUST00352,43,Female,52149,71,East,SMS,2,12,6
CUST00353,33,Female,38648,57,East,Email,6,18,7
CUST00354,34,Male,72131,17,North,Phone Call,14,12,7
CUST00355,24,Male,28298,59,North,Phone Call,10,10,6
CUST00356,34,Male,44978,67,West,Phone Call,7,9,3
CUST00357,32,Male,39558,86,North,Email,9,11,2
CUST00358,38,Male,32606,15,West,Social Media,13,7,4
CUST00359,26,Male,45799,95,South,Phone Call,14,16,3
CUST00360,40,Female,37037,100,West,Social Media,2,10,11
CUST00361,50,Female,50189,26,East,Phone Call,4,10,4
CUST00362,33,Female,50407,48,North,Phone Call,9,10,3
CUST00363,39,Female,40680,14,South,Social Media,1,5,5
CUST00364,41,Male,44442,81,South,SMS,13,12,4
CUST00365,30,Male,46537,9,North,Phone Call,1,14,2
CUST00366,37,Male,62147,7,East,Social Media,0,9,2
CUST00367,35,Male,47773,91,North,Phone Call,2,7,2
CUST00368,35,Female,62370,92,North,Email,3,7,6
CUST00369,27,Male,58787,55,North,Social Media,2,14,5
CUST00370,35,Male,58572,12,West,Phone Call,10,8,6
CUST00371,39,Male,70817,17,South,SMS,7,6,7
CUST00372,49,Male,33209,73,South,Email,0,6,10
CUST00373,44,Female,42902,8,East,Phone Call,4,8,7
CUST00374,56,Male,76449,91,South,Email,6,19,6
CUST00375,27,Female,46140,42,North,SMS,12,10,3
CUST00376,43,Male,7773,76,South,Social Media,8,10,8
CUST00377,36,Male,46955,37,East,Phone Call,0,10,5
CUST00378,56,Male,52024,20,West,Social Media,8,8,1
CUST00379,26,Female,10743,1,West,Phone Call,10,8,5
CUST00380,26,Male,70009,9,North,Phone Call,8,7,12
CUST00381,29,Male,39294,24,North,Social Media,3,15,5
CUST00382,13,Male,54928,34,South,Social Media,14,7,4
CUST00383,29,Female,46610,36,South,Phone Call,9,14,3
CUST00384,27,Female,30674,4,East,SMS,4,8,6
CUST00385,36,Male,33942,29,North,SMS,5,5,5
CUST00386,38,Female,35973,87,East,Phone Call,3,11,5
CUST00387,53,Male,66285,99,West,Social Media,5,3,6
CUST00388,44,Male,47786,16,South,SMS,4,13,3
CUST00389,29,Female,42172,8,North,Phone Call,14,12,5
CUST00390,26,Male,35980,91,South,Email,2,13,5
CUST00391,39,Male,67942,39,North,Phone Call,2,11,6
CUST00392,21,Female,71963,58,West,Social Media,8,10,5
CUST00393,53,Female,67771,12,East,Phone Call,4,10,4
CUST00394,46,Female,57386,44,North,Email,10,13,5
CUST00395,30,Female,54347,4,South,Email,2,8,9
CUST00396,17,Male,31760,25,North,Phone Call,7,11,5
CUST00397,48,Male,46312,70,East,Email,7,7,5
CUST00398,33,Male,39742,67,West,Phone Call,13,10,3
CUST00399,47,Male,22617,39,South,Social Media,13,10,5
CUST00400,19,Male,65855,24,West,Social Media,12,6,7
CUST00401,29,Male,39562,85,West,Social Media,2,14,9
CUST00402,35,Male,67939,6,East,SMS,6,11,9
CUST00403,35,Male,63226,97,North,Phone Call,8,6,9
CUST00404,30,Female,58350,72,North,Social Media,2,13,3
CUST00405,41,Male,59193,33,North,Phone Call,7,7,4
CUST00406,24,Male,40770,48,North,Email,11,13,2
CUST00407,33,Male,77867,67,South,Social Media,11,14,7
CUST00408,36,Male,50646,2,West,SMS,0,5,6
CUST00409,40,Male,54528,38,North,Social Media,11,14,3
CUST00410,42,Female,40263,40,West,SMS,13,9,7
CUST00411,23,Female,36032,56,South,Email,2,12,5
CUST00412,19,Female,57159,88,South,Phone Call,11,10,4
CUST00413,47,Male,53262,21,South,Email,3,8,7
CUST00414,38,Male,38159,82,West,Email,2,9,5
CUST00415,27,Male,28423,35,North,Email,12,14,2
CUST00416,50,Male,30951,75,West,Email,8,16,7
CUST00417,36,Female,67942,75,North,Email,12,8,5
CUST00418,46,Female,40801,67,East,Phone Call,12,8,4
CUST00419,35,Male,44916,60,North,SMS,11,15,5
CUST00420,55,Male,71755,23,North,Email,9,8,7
CUST00421,52,Female,33167,65,North,Social Media,4,4,2
CUST00422,32,Female,39095,63,South,SMS,14,5,4
CUST00423,44,Female,38468,23,East,SMS,2,7,4
CUST00424,41,Female,74271,86,North,Social Media,2,10,4
CUST00425,48,Female,79900,42,East,Social Media,10,8,5
CUST00426,25,Female,61273,94,West,Social Media,1,9,5
CUST00427,41,Female,61750,64,West,Social Media,9,6,4
CUST00428,45,Male,41294,66,South,Social Media,5,7,3
CUST00429,17,Male,79209,81,West,Email,8,11,2
CUST00430,23,Female,54015,41,East,SMS,6,2,3
CUST00431,14,Male,62796,20,East,Social Media,14,17,4
CUST00432,32,Female,48417,9,East,Social Media,1,12,9
CUST00433,42,Male,45979,57,East,Phone Call,8,9,2
CUST00434,50,Female,74945,75,East,SMS,13,7,6
CUST00435,35,Male,58095,17,South,SMS,2,8,3
CUST00436,51,Female,71770,78,North,Email,6,6,1
CUST00437,21,Male,53829,82,West,SMS,9,7,5
CUST00438,17,Male,37274,18,East,Social Media,6,12,4
CUST00439,34,Female,41249,63,West,Phone Call,3,12,6
CUST00440,38,Female,51544,72,South,SMS,13,5,9
CUST00441,34,Female,40602,93,South,Phone Call,3,9,4
CUST00442,14,Male,33388,72,North,Social Media,11,6,6
CUST00443,34,Male,68021,26,South,Phone Call,1,11,1
CUST00444,21,Male,41826,92,North,SMS,1,9,9
CUST00445,41,Male,52072,72,East,SMS,1,9,7
CUST00446,38,Female,54442,84,South,Email,11,8,2
CUST00447,25,Female,41177,72,West,Social Media,10,10,10
CUST00448,29,Male,71761,78,South,Email,4,11,3
CUST00449,24,Female,33242,13,South,Email,2,10,6
CUST00450,34,Female,53924,17,East,Social Media,9,10,8
CUST00451,44,Female,53691,26,North,SMS,6,16,7
CUST00452,25,Female,49186,6,North,Phone Call,12,12,11
CUST00453,40,Male,30546,81,South,Email,6,8,8
CUST00454,29,Female,63062,4,West,SMS,5,12,4
CUST00455,27,Female,61152,89,South,SMS,12,7,8
CUST00456,33,Female,39866,7,West,Email,7,15,7
CUST00457,24,Male,60612,17,East,Email,10,10,8
CUST00458,29,Female,55623,86,East,Email,3,6,6
CUST00459,23,Male,30790,92,North,SMS,8,15,4
CUST00460,54,Male,37191,50,West,Social Media,11,13,6
CUST00461,35,Female,67074,6,South,Social Media,11,10,2
CUST00462,28,Female,54641,30,South,Email,14,9,3
CUST00463,37,Male,41535,74,South,Phone Call,12,10,11
CUST00464,33,Male,37122,56,South,SMS,9,16,7
CUST00465,32,Male,42269,39,East,Phone Call,9,6,1
CUST00466,41,Male,43332,14,West,Email,4,11,11
CUST00467,42,Female,37310,54,East,SMS,3,11,9
CUST00468,29,Male,23873,22,West,Social Media,2,8,6
CUST00469,29,Female,67100,57,North,Social Media,13,9,9
CUST00470,32,Female,64559,41,West,Phone Call,14,7,5
CUST00471,11,Male,30901,90,South,Email,8,6,4
CUST00472,19,Female,52044,10,East,Phone Call,11,11,5
CUST00473,48,Male,36466,2,South,Email,14,9,4
CUST00474,51,Male,46076,67,West,Social Media,3,10,4
CUST00475,32,Male,44828,48,West,SMS,8,8,4
CUST00476,40,Female,43582,42,North,Social Media,10,13,4
CUST00477,38,Female,80044,11,West,Phone Call,0,13,6
CUST00478,65,Male,43395,74,West,SMS,4,7,2
CUST00479,46,Female,37876,12,South,Email,0,13,10
CUST00480,33,Female,38561,14,West,Social Media,8,9,7
CUST00481,25,Female,65656,30,West,Email,11,11,2
CUST00482,18,Female,25218,60,East,Social Media,6,11,8
CUST00483,37,Female,38560,77,East,Email,11,9,4
CUST00484,27,Male,71702,30,North,Social Media,9,10,4
